"Hash","Path"
"3A29CA756EA9D8E997A6072C82CBFEC4FDD20047","C:\Windows\ADAM\adamsync.exe"
"15064FBA73D5CF05061C370054F0CE5B792C27DE","C:\Windows\ADAM\adamuninstall.exe"
"C4D4D6448B2DF136AE1E4A23048D494821612A0E","C:\Windows\ADAM\ADSchemaAnalyzer.exe"
"775FAB41A99CA7C83C59339BD397D011D8089BA3","C:\Windows\Boot\PCAT\memtest.exe"
"5C4D07544C30FA8022689521DC7CD92D81F9C763","C:\Windows\ImmersiveControlPanel\SystemSettings.exe"
"E6256A0159688F0560B015DA4D967F41CBF8C9BD","C:\Windows\Microsoft.NET\assembly\GAC_32\MSBuild\v4.0_4.0.0.0__b03f5f7f11d50a3a\MSBuild.exe"
"C6D88DB3C6871B3BB7F9BA9BDE893BFCAC7C7EE4","C:\Windows\Microsoft.NET\assembly\GAC_64\MSBuild\v4.0_4.0.0.0__b03f5f7f11d50a3a\MSBuild.exe"
"7413AC167789623B396CAAE4C932EF0F891DA07F","C:\Windows\Microsoft.NET\assembly\GAC_MSIL\ComSvcConfig\v4.0_4.0.0.0__b03f5f7f11d50a3a\ComSvcConfig.exe"
"34698AFDD3E84E7A7555A743EAA9F6971B970D5C","C:\Windows\Microsoft.NET\assembly\GAC_MSIL\dfsvc\v4.0_4.0.0.0__b03f5f7f11d50a3a\dfsvc.exe"
"930D4F60CF9699282AEEE123EBC1CFC9D99B3254","C:\Windows\Microsoft.NET\assembly\GAC_MSIL\Microsoft.Workflow.Compiler\v4.0_4.0.0.0__31bf3856ad364e35\Microsoft.Workflow.Compiler.exe"
"09AFEFF9CB54ED9620DBE6D04E7D418423BDFFAD","C:\Windows\Microsoft.NET\assembly\GAC_MSIL\SMSvcHost\v4.0_4.0.0.0__b03f5f7f11d50a3a\SMSvcHost.exe"
"C462EF992AAFFC75CC7AC3661369224DBFFA4F13","C:\Windows\Microsoft.NET\assembly\GAC_MSIL\WsatConfig\v4.0_4.0.0.0__b03f5f7f11d50a3a\WsatConfig.exe"
"2CA2E292B28CCA675DDF11EB1604208A724B59A0","C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInProcess.exe"
"E73D73F42BB2A310F03EB1BCBB22BE2B8EB7C723","C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInProcess32.exe"
"00A4959609F92A1747885C2BAC941E0FE765C155","C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInUtil.exe"
"691E20583EF80CB9A2FD3258560E7F02481D12FD","C:\Windows\Microsoft.NET\Framework\v4.0.30319\AppLaunch.exe"
"19DFD86294C4A525BA21C6AF77681B2A9BBECB55","C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_compiler.exe"
"3FC81B9C9FFB9A8D9BEBAB489F8C6B0938C1A711","C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_regbrowsers.exe"
"C558F0E842C43E6B3BC066916B2F5D860C317BA5","C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_regiis.exe"
"32516487736BBBE0EE7C792C1035BEA448446851","C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_regsql.exe"
"C253368183B09C18DC97261C95F9E623559D137C","C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_state.exe"
"FE95D7AA87BED1297FFB8B255185CAAE2908F4C7","C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_wp.exe"
"8C68CA3F013C490161C0156EF359AF03594AE5E2","C:\Windows\Microsoft.NET\Framework\v4.0.30319\CasPol.exe"
"7413AC167789623B396CAAE4C932EF0F891DA07F","C:\Windows\Microsoft.NET\Framework\v4.0.30319\ComSvcConfig.exe"
"DB402FB24B206C4A378A74FD649C60A413CE5A92","C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe"
"66B83EB16481C334719EED406BC58A3C2B910923","C:\Windows\Microsoft.NET\Framework\v4.0.30319\cvtres.exe"
"8337BE23C4C73166D800EBC3096BEA866CFF177A","C:\Windows\Microsoft.NET\Framework\v4.0.30319\DataSvcUtil.exe"
